DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2018,95.305901,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2018,94.957283,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2018,95.1241,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2018,79.726959,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2018,75.529243,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2018,77.643913,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2018,97.412567,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2018,97.929047,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2018,97.671013,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2018,79.857063,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2018,76.226807,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2018,77.94796,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2018,2.0999999,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2018,2.2,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2018,2.0999999,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
